FID,the_geom,OBJECTID,ECF_Code,ECF_Name,Status,Type,AdminCode,Beds_Open,Beds_Plan,Open_Date,Partner,Lead_Donor,Latitude,Longitude,Accuracy,Updated,LabPresent,Country,Comment
sle_heal_pt_unmeer_ccc.31,POINT (-12.22081500011212 8.463138000018734),33,SLE_0062,"Hinistas CHC, Mile 91",Open,EHC,SLE0205,20,20,1899-12-30T00:00:00,MoH,GOSL,8.463138,-12.220815,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.32,POINT (-12.424149999722664 8.702583000205344),34,SLE_0064,Lunsar,Open,CCC,SLE0204,9,9,1899-12-30T00:00:00,PIH / Plan,DFID,8.702583,-12.42415,CDC Checked Coordinate,2014-11-30T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.33,POINT (-12.670194000252863 8.960499999675294),35,SLE_0065,Foredugu,Open,EHC,SLE0204,12,12,2014-11-15T00:00:00,PIH / Plan,DFID,8.9605,-12.670194,WHO Checked Coordinate,2014-11-27T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.34,POINT (-13.094419999683193 8.340209999591856),36,SLE_0067,Lungi CCC,Open,CCC,SLE0204,8,10,2014-11-21T00:00:00,PIH / Plan,DFID,8.34021,-13.09442,CDC Checked Coordinate,2014-12-01T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.35,POINT (-12.51885600000435 8.668769000289181),38,SLE_0070,Konta Line - Masimira,Under Construction,EHC,SLE0204,0,50,2014-11-30T00:00:00,IRC / Oxfam,DFID,8.668769,-12.518856,,2014-11-24T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.36,POINT (-11.547797000231329 9.587167999803397),39,SLE_0074,Kabala Gov. Hospital,Open,EHC,SLE0203,9,9,1899-12-30T00:00:00,MoH,GOSL,9.587168,-11.547797,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.37,POINT (-11.332059999769127 8.833603999724856),40,SLE_0075,Sumaria,Open,CCC,SLE0203,28,28,2014-12-01T00:00:00,MdM/Oxfam,DFID,8.833604,-11.33206,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.38,POINT (-11.263762999662658 9.120222999891581),41,SLE_0076,Yeffin,Open,CCC,SLE0203,20,20,2014-12-01T00:00:00,MdM/Oxfam,DFID,9.120223,-11.263763,WHO Checked Coordinate,2014-11-27T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.39,POINT (-11.04031389986654 9.066639000189756),42,SLE_0077,Kumala,Open,CCC,SLE0203,28,28,2014-11-17T00:00:00,MdM/Oxfam,DFID,9.066639,-11.040314,WHO Checked Coordinate,2014-11-27T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.40,POINT (-12.91742299967165 9.123296999556933),43,SLE_0078,Catholic Building,Open,EHC,SLE0202,3,3,1899-12-30T00:00:00,MoH,GOSL,9.123297,-12.917423,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.41,POINT (-12.913380000286738 9.124889000127302),44,SLE_0079,Kambia Gov. Hospital,Open,EHC,SLE0202,4,4,1899-12-30T00:00:00,MoH,GOSL,9.124889,-12.91338,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.42,POINT (-10.965842999954438 8.648536999882687),45,SLE_0080,Koidu Gov. Hospital,Open,EHC,SLE0103,44,50,1899-12-30T00:00:00,MoH / Wellbody,GOSL,8.648537,-10.965843,,2014-11-19T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.43,POINT (-12.434274999891286 8.15969199998586),46,SLE_0081,Moyamba Town,Open,EHC,SLE0303,22,22,1899-12-30T00:00:00,MoH,GOSL,8.159692,-12.434275,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.44,POINT (-12.228999999850068 8.788999999550388),47,SLE_0082,Tiama,Open,EHC,SLE0303,4,4,1899-12-30T00:00:00,MoH,GOSL,8.789,-12.229,UNMEER Checked coordinate,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.45,POINT (-11.1382190000068 8.187182999695729),48,SLE_0083,Panguma Hospital - Kenema,Open,EHC,SLE0102,9,9,1899-12-30T00:00:00,MoH,GOSL,8.187183,-11.138219,,2014-11-14T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.46,POINT (-11.332932999558237 8.358721999820483),49,SLE_0084,Baama CHC,Open,EHC,SLE0102,2,2,1899-12-30T00:00:00,MoH,GOSL,8.358722,-11.332933,XY generated from SL_Health_Facilities_Shapefile,2014-12-01T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.47,POINT (-11.346630999920663 7.871970000215386),50,SLE_0085,Blama CHC,Open,EHC,SLE0102,3,3,1899-12-30T00:00:00,MoH,GOSL,7.87197,-11.346631,,2014-11-10T00:00:00,No,Sierra Leone,
sle_heal_pt_unmeer_ccc.48,POINT (-11.237334000363779 7.467032999973019),51,SLE_0086,Gorahun CHC,Open,EHC,SLE0102,5,5,1899-12-30T00:00:00,MoH,GOSL,7.467033,-11.237334,,2014-11-10T00:00:00,No,Sierra Leone,
